,Latitude,Longitude
" False Pass, USA",54.8605N,163.4059W
" Fairhope, USA",30.5262N,87.9176W
" Fairhaven, USA",41.6404N,70.9073W
" Excursion Inlet, USA",58.4153N,135.4476W
" Everett, USA",47.977N,122.2338W
" Eureka, USA",40.7706N,124.2057W
" Essex, USA",41.3516N,72.3829W
" Erie, USA",42.1564N,80.062W
" Escanaba, USA",45.7587N,87.0589W
" Ekuk, USA",58.8172N,158.565W
" Emeryville, USA",37.8407N,122.3086W
" El Segundo, USA",33.9081N,118.4635W
" Egegik, USA",58.2172N,157.3815W
" Gramercy, USA",30.0449N,90.6768W
" Gold Beach, USA",42.4248N,124.4203W
" Grand Haven, USA",43.0602N,86.2531W
" Gloucester, USA",42.6072N,70.6648W
" Good Hope, USA",29.9857N,90.3997W
" Fort Bragg, USA",39.4275N,123.8077W
" Grand Island, USA",29.2496N,90.0041W
" Grays Harbor, USA",46.9617N,123.8455W
" Georgetown, USA, USA",33.352N,79.2807W
" Friday Harbor, USA",48.5359N,123.0083W
" Gladstone, USA",45.8402N,87.0163W
" Geismar, USA",30.2114N,91.0301W
" Gary Harbor, USA",41.6274N,87.3289W
" Galveston, USA",29.3261N,94.7784W
" Freeport, USA",28.9358N,95.2967W
" Freeland, USA",48.0311N,122.5268W
" Frankfort, USA",44.6298N,86.2464W
" Fort Pierce, USA",27.471N,80.3207W
" Fort Lauderdale, USA",26.0802N,80.1025W
" Hillsborough Bay, USA",27.8N,82.41W
" Homer, USA",59.6057N,151.4087W
" Holland, USA",42.7751N,86.2177W
" Hilo, USA",19.7346N,155.0603W
" Great Lakes, USA",42.3028N,87.8295W
" Hollis, USA",55.4819N,132.6456W
" Havre de Grace, USA",39.5373N,76.0842W
" Hawk Inlet, USA",58.1254N,134.7595W
" Harbor Springs, USA",45.4261N,84.9853W
" Harbor Beach, USA",43.8493N,82.64W
" Hana, USA",20.7599N,155.9817W
" Half Moon Bay, USA",37.4946N,122.4823W
" Gustavus, USA",58.3877N,135.729W
" Haines, USA",59.2316N,135.4353W
" Gulfport, USA",30.3519N,89.0831W
" Groves, USA",29.9456N,93.8642W
" Greenwich, USA",41.0098N,73.6063W
" Groton, USA",41.3186N,71.9965W
" Green Bay, USA",44.5492N,87.9962W
" Greenport, USA",41.1036N,72.3543W
" Juneau, USA",58.2916N,134.4097W
" Honolulu, USA",21.2981N,157.8736W
" Indiana Harbor, USA",41.6804N,87.4427W
" Kake, USA",56.9641N,133.9361W
" Kahului, USA",20.8985N,156.4729W
" Ingleside, USA",27.8245N,97.2263W
" Jonesport, USA",44.5274N,67.6075W
" Jacksonville, USA",30.4005N,81.3841W
" Indian River City, USA",28.5608N,80.7944W
" Ilwaco, USA",46.3016N,124.0398W
" Hydaburg, USA",55.2055N,132.8289W
" Huron, USA",41.3997N,82.5449W
" Hyannis, USA",41.6473N,70.2751W
" Houston, USA",29.6523N,94.9857W
" Houma, USA",29.5686N,90.7103W
" Hoquiam, USA",46.9781N,123.8882W
" Hood River, USA",45.7142N,121.5015W
" Kalama, USA",46.0228N,122.8657W
" Hopewell, USA",37.3084N,77.2641W
" Hoonah, USA",58.1141N,135.4574W
" Kotzebue, USA",66.9049N,162.5876W
" Lake Charles, USA",30.0804N,93.3152W
" Kaunakakai, USA",21.08N,157.03W
" La Pointe, USA",46.7749N,90.7879W
" Larsen Bay, USA",57.5378N,154.0006W
" Lazy Bay, USA",56.8968N,154.2496W
" Kodiak, USA",57.7796N,152.4283W
" La Place, USA",30.0427N,90.474W
" Klawock, USA",55.5498N,133.1132W
" Ketchikan, USA",55.3439N,131.6618W
" King Cove, USA",55.0568N,162.3173W
" Keyport, USA",47.7056N,122.6159W
" Key West, USA",24.56N,81.8W
" Kenosha, USA",42.5835N,87.8083W
" Kingston, USA",47.7936N,122.4966W
" Kewaunee, USA",44.4582N,87.4929W
" Kenai, USA",60.55N,151.26W
" Kennebunk, USA",43.347N,70.4773W
" Kawaihae, USA",20.0386N,155.8332W
" Kennewick, USA",46.216N,119.1071W
" Leland, USA",45.0254N,85.7639W
" Mackinac Island, USA",45.8476N,84.6135W
" Lutcher, USA",30.056N,90.506W
" Madisonville, USA",30.3994N,90.1499W
" Lynn, USA",42.4551N,70.9428W
" Mackinaw City, USA",45.7767N,84.7175W
" Manchester, USA",47.5596N,122.5359W
" Malibu Pier, USA",34.0346N,118.6748W
" Los Angeles, USA",33.7163N,118.2644W
" Ludington, USA",43.9527N,86.4653W
" Long Beach, USA",33.7432N,118.2141W
" Lubec, USA",44.8637N,66.9831W
" Loop, USA",28.8816N,90.0207W
" Lorain, USA",41.4761N,82.193W
" Lewes, USA",38.786N,75.1426W
" Longview, USA",46.1093N,122.9553W
" Manistique, USA",45.9468N,86.2475W
" Manistee, USA",44.252N,86.351W
" Lemont, USA",41.6805N,88.0297W
" Manitowoc, USA",44.0916N,87.643W
" Monroe, USA",41.887N,83.3344W
" Milbridge, USA",44.5416N,67.878W
" Marblehead, USA",42.4988N,70.8469W
" Montauk, USA",41.0791N,71.9381W
" Milwaukee, USA",43.0259N,87.8893W
" Monterey, USA",36.6069N,121.8884W
" Morehead City, USA",34.7218N,76.7294W
" Mobile, USA",30.6651N,88.0298W
" Michigan City, USA",41.7224N,86.9013W
" Menominee/Marinette, USA",45.0931N,87.5863W
" Metlakatla, USA",55.1317N,131.5719W
" Memphis, USA",35.0853N,90.1191W
" Melville, USA",41.5894N,71.2889W
" Matanuska, USA",44.1372N,68.441W
" Miami, USA",25.76N,80.16W
" Martinez, USA",38.0342N,122.1273W
" Marrero, USA",29.9066N,90.1086W
" Marquette, USA",46.5341N,87.3786W
" Marina Del Rey, USA",33.9597N,118.4641W
" Marcus Hook, USA",39.8076N,75.4135W
" Netarts Bay, USA",45.4297N,123.9466W
" Nawiliwili, USA",21.9525N,159.3515W
" New London, USA",41.35N,72.08W
" New Haven, USA",41.2715N,72.9121W
" Neah Bay, USA",48.3689N,124.6143W
" Morgan City, USA",29.698N,91.2088W
" Navarre, USA",30.4N,86.85W
" New Bedford, USA",41.6334N,70.9215W
" Nantucket, USA",41.2878N,70.0878W
" Mystic, USA",41.3438N,71.968W
" Naknek, USA",58.7189N,156.9996W
" Mukilteo, USA",47.9517N,122.3052W
" Munising, USA",46.415N,86.6495W
" Myrtle Grove, USA",29.63N,89.95W
" Muskegon, USA",43.2241N,86.3521W
" Mounts Mills, USA",40.4916N,74.2744W
" Moss Point, USA",30.425N,88.512W
" Morrow, USA",45.8552N,119.6863W
" Moss Landing, USA",36.8051N,121.7912W
" Morro Bay, USA",35.3543N,120.8681W
" Ogdensburg, USA",44.6993N,75.5009W
" Ocean City, USA",38.3264N,75.0996W
" Ogunquit, USA",43.2354N,70.5866W
" Oakland, USA",37.8165N,122.3287W
" Oconto, USA",44.8945N,87.8247W
" New Orleans, USA",29.95N,90.06W
" Oakley, USA",38.0146N,121.7298W
" Oak Bluffs, USA",41.4599N,70.556W
" Northport, USA",45.1331N,85.6054W
" North Haven, USA",44.1258N,68.8751W
" Norco, USA",29.9923N,90.4104W
" Newport RI, USA",41.48N,71.33W
" Nome, USA",64.4907N,165.4411W
" Nikiski, USA",60.6756N,151.401W
" Newport OR, USA",44.6154N,124.0676W
" Norfolk, USA",36.85N,76.31W
" Newburyport, USA",42.8121N,70.8537W
" New York, USA",40.7N,74.01W
" Newport News, USA",36.9778N,76.4344W
" Newport Beach, USA",33.5909N,117.8854W
" Pearl Harbor, USA",21.3397N,157.9714W
" Pelican, USA",57.9577N,136.2298W
" Patchogue, USA",40.7456N,73.0112W
" Paulsboro, USA",39.8515N,75.251W
" Pennsauken, USA",39.9791N,75.0709W
" Olympia, USA",47.0783N,122.9135W
" Pascagoula, USA",30.33N,88.56W
" Pensacola, USA",30.4001N,87.2174W
" Paradise Cove, USA",45.6891N,123.9009W
" Panama City, USA",30.1517N,85.6867W
" Palisades, USA",52.2309N,174.1742W
" Palacios, USA",28.6954N,96.2239W
" Oswego, USA",43.4683N,76.515W
" Ostrica, USA",29.3702N,89.5454W
" Palm Beach, USA",26.7905N,80.0209W
" Ouzinkie, USA",57.9195N,152.4983W
" Oscoda, USA",44.407N,83.3199W
" Ontonagon, USA",46.8798N,89.3264W
" Orcas, USA",48.5953N,122.9419W
" Orange, USA",30.0665N,93.7133W
" Port Allen, USA",21.8989N,159.5919W
" Point Pleasant Beach, USA",40.1021N,74.0407W
" Point Wells, USA",47.7818N,122.3998W
" Point Comfort, USA",28.6402N,96.5647W
" Port Angeles, USA",48.1189N,123.4322W
" Perth Amboy, USA",40.5206N,74.2589W
" Point Arena, USA",38.9145N,123.7117W
" Point Roberts, USA",48.9737N,123.0658W
" Plymouth (USA), USA",41.9594N,70.6559W
" Pittston, USA",56.2453N,134.6502W
" Pittsburg, USA",38.0365N,121.8815W
" Petoskey, USA",45.379N,84.9584W
" Pilottown, USA",29.182N,89.2604W
" Philadelphia, USA",39.95N,75.16W
" Peterborough, USA",56.8119N,132.972W
" Piney Point, USA",38.1323N,76.5332W
" Port Chicago, USA",38.0605N,122.015W
" Port Bolivar, USA",29.3727N,94.7835W
" Port Arthur, USA",29.8408N,93.9522W
" Port Aransas, USA",27.8435N,97.0603W
" Port Clinton, USA",41.5167N,82.9333W
" Port Orford, USA",42.7384N,124.4973W
" Port Orchard, USA",47.5333N,122.6716W
" Port Moller, USA",55.9854N,160.5724W
" Port Neches, USA",29.9991N,93.9527W
" Port Monmouth, USA",40.4428N,74.1035W
" Port Manatee, USA",27.6345N,82.5646W
" Port Hueneme, USA",34.1431N,119.2136W
" Port Madison, USA",47.7087N,122.5296W
" Port Lavaca, USA",28.6177N,96.6162W
" Port MacKenzie, USA",61.2687N,149.9105W
" Port Ludlow, USA",47.9212N,122.6867W
" Port Lions, USA",57.866N,152.8727W
" Port Jefferson, USA",40.971N,73.0975W
" Port Isabel, USA",26.0606N,97.2127W
" Port Gamble, USA",47.8582N,122.5813W
" Port Hadlock, USA",48.0324N,122.7459W
" Port Everglades, USA",26.11N,80.13W
" Port Fourchon, USA",29.1294N,90.2115W
" Red Dog, USA",67.5733N,164.0725W
" Raymond, USA",46.6886N,123.7427W
" Quincy, USA",42.2478N,70.9606W
" Redwood City, USA",37.5261N,122.1974W
" Redondo Beach, USA",33.8403N,118.3954W
" Rainier, USA",46.0871N,122.9322W
" Racine, USA",42.7314N,87.7712W
" Port Saint Joe, USA",29.83N,85.31W
" Provincetown, USA",42.0452N,70.1804W
" Providence, USA",41.7811N,71.3805W
" Poulsbo, USA",47.7324N,122.65W
" Portsmouth, USA",43.0613N,70.7007W
" Port Williams, USA",58.4886N,152.5821W
" Portland, Oregon, USA",45.5731N,122.7023W
" Portland, Maine, USA",43.6604N,70.2343W
" Port Washington, USA",43.3841N,87.8605W
" Port Townsend, USA",48.1045N,122.7729W
" Port San Luis, USA",35.1633N,120.7361W
" Reserve, USA",30.053N,90.5777W
" Port Sulphur, USA",29.4741N,89.6838W
" Sag Harbor, USA",41.0047N,72.2934W
" Saginaw, USA",43.4713N,83.9127W
" Sacramento, USA",38.559N,121.5523W
" Sabine, USA",29.7325N,93.8697W
" Saco, USA",43.4985N,70.4498W
" Saint Augustine, USA",29.9039N,81.3033W
" Richland, USA",46.2737N,119.2688W
" Roosevelt, USA",45.7227N,120.2106W
" Rogers City, USA",45.4226N,83.8082W
" Romeville, USA",30.0455N,90.8369W
" Rockport, USA",44.1784N,69.0705W
" Riverside, USA",41.7522N,71.3562W
" Roche Harbor, USA",48.6124N,123.1577W
" Rockland, USA",44.1073N,69.1016W
" Rochester, USA",43.1592N,77.6143W
" Rodeo, USA",38.0583N,122.2626W
" Saint Michael, USA",63.4753N,162.0268W
" Saint Clair Shores, USA",42.5171N,82.8633W
" Saint Joseph, USA",42.113N,86.4891W
" Richmond, USA",37.9065N,122.3612W
" Savannah, USA",32.0728N,81.0996W
" Sausalito, USA",37.8665N,122.4914W
" Scituate, USA",42.2019N,70.7147W
" Selby, USA",38.0593N,122.243W
" Santa Cruz, USA",36.9667N,122.017W
" Searsport, USA",44.4504N,68.8992W
" Saint Paul, USA",57.1304N,170.2882W
" Seattle, USA",47.5981N,122.3471W
" Santa Barbara, USA",34.4057N,119.6858W
" Sandusky, Erie, USA",41.4618N,82.7252W
" San Pablo, USA",37.9645N,122.4134W
" Sand Point, USA",55.3333N,160.5061W
" San Francisco, USA",37.8119N,122.4034W
" San Leandro, USA",37.6935N,122.193W
" San Clemente, USA",33.0069N,118.557W
" San Diego, USA",32.6734N,117.224W
" Salem, USA",39.5732N,75.4853W
" Saint Rose, USA",29.937N,90.3231W
" Saint Petersburg, USA",27.7588N,82.6272W
" Southport, USA",33.9213N,78.0177W
" South Padre Island, USA",26.0748N,97.1667W
" Steilacoom, USA",47.1738N,122.6047W
" Seldovia, USA",59.439N,151.7215W
" Steamboat Bay, USA",55.5329N,133.6368W
" Stamford Harbor, USA",41.0299N,73.5389W
" South Haven, USA",42.4028N,86.2855W
" South Dartmouth, USA",41.5821N,70.9338W
" Sodus Point, USA",43.2755N,76.975W
" Slidell, USA",30.2064N,89.7915W
" Skagway, USA",59.4486N,135.3353W
" Silverdale, USA",47.6413N,122.6933W
" Silver Bay, USA",47.2739N,91.2605W
" Sitka, USA",57.0461N,135.3389W
" Ship Bottom, USA",39.65N,74.1833W
" Shelton, USA",47.212N,123.0814W
" Shelter Island, USA",41.0888N,72.3498W
" Sheboygan, USA",43.7479N,87.6991W
" Shalimar, USA",30.4336N,86.5925W
" Seward, USA",60.0945N,149.398W
" Tavernier, USA",25.0N,80.5167W
" Stevenson, USA",45.6906N,121.8812W
" Tampa, USA",27.9055N,82.4455W
" Taft, USA",29.9898N,90.4434W
" Tahlequah, USA",47.331N,122.5081W
" Taconite Harbor, USA",47.5181N,90.9082W
" Tacoma, USA",47.2732N,122.4175W
" Suttons Bay, USA",44.9714N,85.6408W
" Sunny Point, USA",33.9982N,77.9522W
" Summerland Key, USA",24.6571N,81.4487W
" Sturgeon Bay, USA",44.8333N,87.3833W
" Stonington, USA",44.1514N,68.667W
" Stockton, USA",37.9538N,121.3334W
" Superior, USA",46.7274N,92.0664W
" Tiburon, USA",37.8713N,122.4594W
" Thomaston, USA",44.0702N,69.1814W
" Tawas City, USA",44.2762N,83.4829W
" The Dalles, USA",45.6022N,121.1732W
" Tenakee Springs, USA",57.7747N,135.2159W
" Texas City, USA",29.382N,94.8839W
" Ward, USA",55.3931N,131.7371W
" Ventura, USA",34.244N,119.271W
" Venice, USA",29.2509N,89.3675W
" Vashon Island, USA",47.5124N,122.4626W
" Vineyard Haven, USA",41.4577N,70.5951W
" Tiverton, USA",41.6322N,71.2125W
" Vallejo, USA",38.0763N,122.2435W
" Vancouver, USA",45.638N,122.7109W
" Valdez, USA",61.1094N,146.4034W
" Umatilla, USA",45.9263N,119.3325W
" Two Rivers, USA",44.1428N,87.5617W
" Tuscaloosa, USA",33.2229N,87.5481W
" Tulalip, USA",48.0582N,122.293W
" Two Harbors, USA",47.0102N,91.6779W
" Trenton, USA",40.1859N,74.7532W
" Unalaska, USA",53.8461N,166.5835W
" Traverse City, USA",44.7667N,85.6167W
" Treasure Island, USA",37.8149N,122.3634W
" Tottenville, USA",40.5179N,74.2489W
" Toledo, USA",41.7N,83.46W
" Wrangell, USA",56.4677N,132.3877W
" Wilmington, USA",34.2116N,77.957W
" Warrenton, USA",46.18N,123.909W
" Woods Hole, USA",41.5233N,70.6733W
" Winter Harbor, USA",44.3862N,68.0845W
" Wilmette, USA",42.08N,87.6824W
" Winterport, USA",44.6359N,68.8381W
" White Lake, USA",43.396N,86.3619W
" Wheeler, USA",45.6907N,123.8831W
" Whittier, USA",60.7799N,148.6822W
" Whitesville, USA",34.2126N,77.8135W
" Wilma, USA",46.4203N,117.0999W
" White Salmon, USA",45.7162N,121.4805W
" West Wego, USA",29.9164N,90.1398W
" Westport, USA",46.9086N,124.1052W
" Waterfall, USA",55.2969N,133.2456W
" Wauna Range, USA",46.1596N,123.4042W
" Waukegan, USA",42.3595N,87.8135W
" Washington, USA",38.8756N,77.0184W
" Yakutat, USA",59.5481N,139.7403W
" York Harbor, USA",43.1302N,70.6357W
" Youngstown, USA",43.25N,79.0527W
" Yorktown, USA",37.2211N,76.4682W
" Wyandotte, USA",42.198N,83.1488W
